State,k,lambda,Objective Value,Existing clients,New clients,Existing sum distance,New sum distance,Reassigned Clients,Reassigned Distance,Total Distance,Existing Average,Run Time
Alabama,1,1,267.0739198547039,7093.000000000003,267.0739198547039,78334.98400907298,3907.7532628101235,0.0,0.0,82242.7372718831,11.043984774999712,7.7349270805716515
Alabama,2,1,512.6203876090561,7093.000000000003,512.6203876090561,78334.98400907298,7883.681240654139,0.0,0.0,86218.66524972713,11.043984774999712,1.9479761719703674
Alabama,3,1,668.875249221798,7093.000000000003,668.875249221798,78334.98400907298,10138.510207591016,0.0,0.0,88473.494216664,11.043984774999712,2.4260045662522316
Alabama,4,1,794.2940174504695,7093.000000000003,794.294015648431,78193.82135004438,11575.161626523997,9.04115750465905,83.5058065129116,89768.98297656838,11.0240830889672,2.6316224820911884
Alabama,5,1,887.3007713494991,7093.000000000003,887.3007713494991,78334.98400907298,13079.01404148496,0.0,0.0,91413.99805055794,11.043984774999712,2.5369812846183777
Alabama,6,1,980.0781461744634,7093.000000000003,980.0781461744634,78334.98400907298,14693.989029357199,0.0,0.0,93028.97303843018,11.043984774999712,2.5303851701319218
Alabama,7,1,1055.7391885490376,7093.000000000003,1055.7391885490376,78334.98400907298,15944.543846821323,0.0,0.0,94279.52785589431,11.043984774999712,2.554621435701847
Alabama,8,1,1125.7669380140503,7093.000000000003,1125.7669380140503,78334.98400907298,17324.065106417096,0.0,0.0,95659.04911549008,11.043984774999712,2.5430316738784313
Alabama,9,1,1190.5468368180477,7093.000000000003,1190.5468368180477,78334.98400907298,18411.24455890432,0.0,0.0,96746.2285679773,11.043984774999712,2.514490783214569
Alabama,10,1,1246.726051578798,7093.000000000003,1246.726051578798,78334.98400907298,18997.195390037916,0.0,0.0,97332.1793991109,11.043984774999712,2.0192021280527115
Alabama,11,1,1293.2140048162037,7093.000000000003,1293.2140048162037,78334.98400907298,19785.01458678799,0.0,0.0,98119.99859586098,11.043984774999712,2.0147494450211525
Alabama,12,1,1339.517864852075,7093.000000000003,1339.517861343483,78060.13850168181,20709.337153799046,20.9444380386148,220.68111575271845,98769.47565548086,11.005235937076241,2.0099319890141487
Alabama,13,1,1385.4001031903297,7093.000000000003,1385.4000968645912,77839.4573859291,21209.566526358165,20.9444380386148,0.0,99049.02391228726,10.97412341547005,2.069639265537262
Alabama,14,1,1431.1346322834518,7093.000000000003,1431.1346259577133,77839.4573859291,22007.509650213906,20.9444380386148,0.0,99846.967036143,10.97412341547005,2.2001839242875576
Alabama,15,1,1472.936802253891,7093.000000000003,1472.9367959281526,77839.4573859291,22500.247304518773,20.9444380386148,0.0,100339.70469044786,10.97412341547005,2.1910445615649223
