State,k,lambda,Clients,Longitude,Latitude
Alabama,1,0,447.34038449429477,34.7627454,-86.7550333
Alabama,2,0,447.34038449429477,34.7627454,-86.7550333
Alabama,2,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,3,0,401.02347058423817,33.4278956,-86.731802
Alabama,3,0,447.34038449429477,34.7627454,-86.7550333
Alabama,3,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,4,0,401.02347058423817,33.4278956,-86.731802
Alabama,4,0,447.34038449429477,34.7627454,-86.7550333
Alabama,4,0,421.7399529586741,33.6453495,-86.6958458
Alabama,4,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,5,0,401.02347058423817,33.4278956,-86.731802
Alabama,5,0,447.34038449429477,34.7627454,-86.7550333
Alabama,5,0,421.7399529586741,33.6453495,-86.6958458
Alabama,5,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,5,0,312.3312842062327,33.4009043,-86.9633713
Alabama,6,0,401.02347058423817,33.4278956,-86.731802
Alabama,6,0,168.850870898554,34.211084,-86.13531090000001
Alabama,6,0,447.34038449429477,34.7627454,-86.7550333
Alabama,6,0,421.7399529586741,33.6453495,-86.6958458
Alabama,6,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,6,0,312.3312842062327,33.4009043,-86.9633713
Alabama,7,0,401.02347058423817,33.4278956,-86.731802
Alabama,7,0,168.850870898554,34.211084,-86.13531090000001
Alabama,7,0,214.22131137636885,30.6478304,-87.8437744
Alabama,7,0,447.34038449429477,34.7627454,-86.7550333
Alabama,7,0,421.7399529586741,33.6453495,-86.6958458
Alabama,7,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,7,0,312.3312842062327,33.4009043,-86.9633713
Alabama,8,0,401.02347058423817,33.4278956,-86.731802
Alabama,8,0,168.850870898554,34.211084,-86.13531090000001
Alabama,8,0,214.22131137636885,30.6478304,-87.8437744
Alabama,8,0,447.34038449429477,34.7627454,-86.7550333
Alabama,8,0,228.38643642220373,31.2280966,-85.3990396
Alabama,8,0,421.7399529586741,33.6453495,-86.6958458
Alabama,8,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,8,0,312.3312842062327,33.4009043,-86.9633713
Alabama,9,0,401.02347058423817,33.4278956,-86.731802
Alabama,9,0,168.850870898554,34.211084,-86.13531090000001
Alabama,9,0,214.22131137636885,30.6478304,-87.8437744
Alabama,9,0,132.43130922348558,31.326926899999997,-85.85246
Alabama,9,0,447.34038449429477,34.7627454,-86.7550333
Alabama,9,0,228.38643642220373,31.2280966,-85.3990396
Alabama,9,0,421.7399529586741,33.6453495,-86.6958458
Alabama,9,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,9,0,312.3312842062327,33.4009043,-86.9633713
Alabama,10,0,363.53977580766946,33.4278956,-86.731802
Alabama,10,0,168.850870898554,34.211084,-86.13531090000001
Alabama,10,0,285.7746032941082,33.663224299999996,-86.67398659999999
Alabama,10,0,214.22131137636885,30.6478304,-87.8437744
Alabama,10,0,132.43130922348558,31.326926899999997,-85.85246
Alabama,10,0,447.34038449429477,34.7627454,-86.7550333
Alabama,10,0,228.38643642220373,31.2280966,-85.3990396
Alabama,10,0,444.27923548514354,33.529872600000004,-86.8197193
Alabama,10,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,10,0,312.3312842062327,33.4009043,-86.9633713
Alabama,11,0,363.53977580766946,33.4278956,-86.731802
Alabama,11,0,168.850870898554,34.211084,-86.13531090000001
Alabama,11,0,285.7746032941082,33.663224299999996,-86.67398659999999
Alabama,11,0,214.22131137636885,30.6478304,-87.8437744
Alabama,11,0,132.43130922348558,31.326926899999997,-85.85246
Alabama,11,0,447.34038449429477,34.7627454,-86.7550333
Alabama,11,0,228.38643642220373,31.2280966,-85.3990396
Alabama,11,0,158.84653864492637,33.796820200000006,-85.7593266
Alabama,11,0,444.27923548514354,33.529872600000004,-86.8197193
Alabama,11,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,11,0,312.3312842062327,33.4009043,-86.9633713
Alabama,12,0,358.3301513961363,33.4278956,-86.731802
Alabama,12,0,168.850870898554,34.211084,-86.13531090000001
Alabama,12,0,285.7746032941082,33.663224299999996,-86.67398659999999
Alabama,12,0,214.22131137636885,30.6478304,-87.8437744
Alabama,12,0,132.43130922348558,31.326926899999997,-85.85246
Alabama,12,0,447.34038449429477,34.7627454,-86.7550333
Alabama,12,0,228.38643642220373,31.2280966,-85.3990396
Alabama,12,0,158.84653864492637,33.796820200000006,-85.7593266
Alabama,12,0,444.27923548514354,33.529872600000004,-86.8197193
Alabama,12,0,158.66536215901468,33.431756899999996,-86.09945429999999
Alabama,12,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,12,0,312.3312842062327,33.4009043,-86.9633713
Alabama,13,0,358.3301513961363,33.4278956,-86.731802
Alabama,13,0,168.850870898554,34.211084,-86.13531090000001
Alabama,13,0,285.7746032941082,33.663224299999996,-86.67398659999999
Alabama,13,0,214.22131137636885,30.6478304,-87.8437744
Alabama,13,0,132.43130922348558,31.326926899999997,-85.85246
Alabama,13,0,447.34038449429477,34.7627454,-86.7550333
Alabama,13,0,228.38643642220373,31.2280966,-85.3990396
Alabama,13,0,158.84653864492637,33.796820200000006,-85.7593266
Alabama,13,0,444.27923548514354,33.529872600000004,-86.8197193
Alabama,13,0,158.66536215901468,33.431756899999996,-86.09945429999999
Alabama,13,0,207.53368850091388,32.4977055,-86.38835949999999
Alabama,13,0,312.3312842062327,33.4009043,-86.9633713
