State,k,lambda,Objective Value,Existing clients,New clients,Existing sum distance,New sum distance,Reassigned Clients,Reassigned Distance,Total Distance,Existing Average,Run Time
Alabama,1,0,76017.05651353969,7093.000000000003,83.82130569249394,76017.05651353969,1749.1567350124044,363.5190788018007,2787.3322452303705,77766.2132485521,10.717193925495511,7.891856659203768
Alabama,2,0,73762.20951187027,7093.000000000003,87.42728802486727,73762.20951187027,1835.0367738421826,567.446784970276,4573.7091418282835,75597.24628571245,10.399296420678168,2.535215847194195
Alabama,3,0,71889.05710971447,7093.000000000003,93.75805094198886,71889.05710971447,1989.7965939880544,962.139492637393,7165.865744907863,73878.85370370252,10.135211773539327,2.5277649350464344
Alabama,4,0,70188.07052305172,7093.000000000003,108.06079194792389,70188.07052305172,2326.3877305793817,1369.5767045901332,10540.295671125072,72514.4582536311,9.895399763577004,2.6538162901997566
Alabama,5,0,68561.33089443484,7093.000000000003,138.14804956555517,68561.33089443484,2932.048182365746,1651.8207311787348,12395.157798934692,71493.37907680059,9.666055391856029,2.6866633147001266
Alabama,6,0,67047.36979954524,7093.000000000003,198.4368467484312,67047.36979954524,3850.8024894665973,1760.3828048944133,13041.937578258721,70898.17228901184,9.452610996693249,2.674516197293997
Alabama,7,0,65564.512658704,7093.000000000003,292.26397098194246,65564.512658704,5509.605331543923,1880.7769920372698,13767.06296839025,71074.11799024792,9.243551763527982,2.815576083958149
Alabama,8,0,64126.00965303236,7093.000000000003,297.86693685191756,64126.00965303236,5629.545873506132,2103.5604625894985,15260.448829216424,69755.55552653849,9.04074575680704,2.8383439145982265
Alabama,9,0,62760.360492405904,7093.000000000003,332.78915431775573,62760.360492405904,6305.684062292242,2201.0695543471534,15856.437286213799,69066.04455469815,8.84821098158831,2.9088719971477985
Alabama,10,0,61626.30371558029,7093.000000000003,344.578824134546,61626.30371558029,6578.646848379941,2460.110075574372,16839.6138547534,68204.95056396023,8.688327042940966,2.853287421166897
Alabama,11,0,60561.14340767365,7093.000000000003,352.50524806202,60561.14340767365,6729.810716841336,2611.0301902918213,18205.013321093975,67290.95412451499,8.538156408807787,2.814463883638382
Alabama,12,0,59520.258952033604,7093.000000000003,438.83544378316833,59520.258952033604,8410.639783649887,2678.1557323181432,18594.670300526028,67930.8987356835,8.391408283100745,2.933039214462042
Alabama,13,0,58500.61035572266,7093.000000000003,443.53518480924583,58500.61035572266,8515.679563827209,2929.603525631333,20377.699637567577,67016.28991954986,8.24765407524639,2.8847493268549442
Alabama,14,0,57575.614712929135,7093.000000000003,530.2130015003185,57575.614712929135,9702.66571021739,3007.1874754754735,20856.62414248441,67278.28042314653,8.117244425902879,2.9122391268610954
Alabama,15,0,56659.710369462875,7093.000000000003,534.9493687975046,56659.710369462875,9730.187898928985,3144.0028412734614,21612.4482667295,66389.89826839186,7.988116504929205,2.855856269598007
Alabama,16,0,55744.484057851056,7093.000000000003,541.5037248860497,55744.484057851056,9867.80343816582,3409.3134690016677,22722.371846393362,65612.28749601687,7.8590841756451475,2.747078772634268
Alabama,17,0,54955.97446723585,7093.000000000003,541.5037248860572,54955.97446723585,9860.653915533132,3536.1240504674606,22974.3348992549,64816.628382768984,7.7479168852722164,2.7310585007071495
Alabama,18,0,54184.39617882121,7093.000000000003,541.5037248860544,54184.39617882121,9898.135016275935,3562.922837449108,22577.287484740187,64082.531195097145,7.639136638773606,2.698840621858835
Alabama,19,0,53444.38895942345,7093.000000000003,568.0467371267833,53444.38895942345,10499.167636512162,3658.7896484750117,23604.674732599196,63943.55659593561,7.534807410041369,2.5779921524226665
Alabama,20,0,52753.73087948199,7093.000000000003,589.4903151136383,52753.73087948199,10990.056157798916,3737.3440795282954,24184.22593515694,63743.787037280905,7.437435623781471,2.6674385592341423
Alabama,21,0,52072.81818794343,7093.000000000003,602.7728646883075,52072.81818794343,11209.045812847658,3775.2468389688015,24187.864961939646,63281.86400079109,7.341437782030651,2.5337006002664566
Alabama,22,0,51430.44458078434,7093.000000000003,611.0647219153437,51430.44458078434,11401.760342548894,3816.130790739755,24247.139920802252,62832.20492333323,7.250873337203485,2.610018063336611
Alabama,23,0,50813.9987991035,7093.000000000003,615.5128372896606,50813.9987991035,11174.040389510652,3991.1492358298565,25511.56729237399,61988.03918861415,7.163964302707385,2.887040849775076
Alabama,24,0,50197.60591004479,7093.000000000003,627.3025071064509,50197.60591004479,11495.094138664625,3991.1492358298556,24895.174403315286,61692.70004870941,7.0770627252283616,2.6721574179828167
Alabama,25,0,49590.87929234444,7093.000000000003,651.73423254857,49590.87929234444,12055.315139059281,4043.5029469910305,25418.222656800805,61646.194431403725,6.991523938015568,2.542497631162405
Arizona,1,0,60872.04554478661,10476.000000000004,34.02048068929702,60872.04554478661,706.7120241863063,500.67553814076837,3463.2000474094148,61578.75756897292,5.810619085985738,13.306067023426294
Arizona,2,0,58406.44346687139,10476.000000000004,55.13649910305755,58406.44346687139,1203.9206488306334,951.8422840536442,5819.691905247538,59610.36411570202,5.575261881144652,3.8374116644263268
Arizona,3,0,56782.80706950672,10476.000000000004,84.61019306558583,56782.80706950672,1814.7597432708546,1132.105361062897,6965.981945170339,58597.56681277758,5.420275588918166,3.8790450170636177
Arizona,4,0,55353.8506756676,10476.000000000004,92.9620223002873,55353.8506756676,1717.9993862400063,1243.8096725612509,6526.791316530814,57071.85006190761,5.2838727258178295,4.099002491682768
Arizona,5,0,54014.177810076224,10476.000000000004,94.6869664586755,54014.177810076224,1865.596900533877,1321.8279003043194,6744.706339694308,55879.7747106101,5.155992536280661,4.186570629477501
Arizona,6,0,52894.65346382189,10476.000000000004,94.6869664586755,52894.65346382189,1865.596900533877,1497.7088404126093,7869.001439197178,54760.250364355765,5.049126905672191,4.416617069393396
Arizona,7,0,51844.5509861053,10476.000000000004,150.67171462707572,51844.5509861053,3003.2212515134224,1576.8000004964042,8291.131760485381,54847.77223761872,4.948888028456022,4.4121204651892185
Arizona,8,0,50821.197221848284,10476.000000000004,150.67171462707572,50821.197221848284,2823.95758564918,1666.2502463062128,8752.425546010138,53645.15480749746,4.851202483948861,4.355234861373901
Arizona,9,0,49873.129160713186,10476.000000000004,150.6717146270736,49873.129160713186,2823.95758564918,1906.7692296581454,9690.5340737486,52697.086746362365,4.760703432675942,4.274870757013559
Arizona,10,0,49050.17167537892,10476.000000000004,150.67171462707756,49050.17167537892,2871.6065005253204,2119.6527900047995,10048.89923289892,51921.77817590424,4.682146971685653,4.409901328384876
Arizona,11,0,48236.69290256207,10476.000000000004,150.67171462707284,48236.69290256207,2823.95758564918,2296.2822281798253,11406.16201104933,51060.65048821125,4.6044953133411655,4.453314073383808
Arizona,12,0,47482.45232260252,10476.000000000004,150.6717146270721,47482.45232260252,2823.95758564918,2402.955862930199,12085.482120288678,50306.4099082517,4.532498312581377,4.532741565257311
Arizona,13,0,46772.37439104206,10476.000000000004,150.6717146270729,46772.37439104206,2823.95758564918,2577.3669648592004,12674.665844760597,49596.33197669124,4.464716913997904,4.524851731956005
Arizona,14,0,46076.46874854777,10476.000000000004,150.6717146270687,46076.46874854777,2909.407010259989,2814.2812673467724,13452.477778052313,48985.87575880776,4.398288349422275,4.545974362641573
Arizona,15,0,45394.02101167355,10476.000000000004,150.67171462707245,45394.02101167355,2857.1769320903913,3047.6227660053873,14272.48451326468,48251.19794376394,4.3331444264675,4.632142525166273
Arizona,16,0,44762.54211490326,10476.000000000004,150.671714627078,44762.54211490326,2825.290474359852,3099.938054392037,13915.665191053855,47587.83258926311,4.272865799437118,4.65704383328557
Arizona,17,0,44160.91887057131,10476.000000000004,161.60990695120066,44160.91887057131,3025.5640761448794,3203.588111677609,14443.782411477201,47186.48294671619,4.215437081956023,4.576613120734692
Arizona,18,0,43569.675658527056,10476.000000000004,161.60990695120032,43569.675658527056,3025.5640761448794,3274.121836006323,14366.579042112084,46595.23973467194,4.158999203754013,4.6109568402171135
Arizona,19,0,42980.749308442915,10476.000000000004,161.60990695119511,42980.749308442915,3194.2244193766865,3397.8857879264115,14642.045753348397,46174.973727819604,4.10278248457836,4.627277709543705
Arizona,20,0,42393.00999978432,10476.000000000004,178.08337618941357,42393.00999978432,3476.530883006524,3485.167435389389,15113.204742898917,45869.54088279085,4.046679075962611,4.763047575950623
Arizona,21,0,41816.100786734874,10476.000000000004,178.0833761894185,41816.100786734874,3441.5684566481214,3715.5487434805877,15669.044733042998,45257.669243382996,3.9916094679968364,4.574907962232828
Arizona,22,0,41274.593214893066,10476.000000000004,189.56064624563172,41274.593214893066,3646.8667003650717,3764.9184637745116,15661.26364613092,44921.459915258136,3.9399191690428648,4.4644442088902
Arizona,23,0,40747.51477299395,10476.000000000004,197.82671606169984,40747.51477299395,3856.526592461092,3828.1146613911396,15872.052092579026,44604.04136545504,3.8896062211716242,4.446888733655214
Arizona,24,0,40239.30558629232,10476.000000000004,266.37990920427603,40239.30558629232,4995.026260168876,3854.2152628091694,15872.052092579026,45234.331846461195,3.841094462227215,4.562798347324133
Arizona,25,0,39777.34752230148,10476.000000000004,266.3799092042758,39777.34752230148,5043.773453523259,3915.148047485467,16137.306367124045,44821.12097582474,3.7969976634499303,4.598977219313383
Arkansas,1,0,9561.921055146897,1031.0000000000005,22.06594519685181,9561.921055146897,370.47653066139696,114.44605726920958,682.4050651550858,9932.397585808294,9.27441421449747,1.8496698886156082
Arkansas,2,0,8886.715564070822,1031.0000000000005,63.57813460516827,8886.715564070822,990.4204878790166,184.30475762686737,1235.1313726802719,9877.13605194984,8.619510731397495,0.6283826269209385
Arkansas,3,0,8334.851960990443,1031.0000000000005,75.90750949465156,8334.851960990443,1250.4865616851816,274.8672514881131,1894.9186254063777,9585.338522675625,8.084240505325354,0.6455861702561378
Arkansas,4,0,7873.098842409938,1031.0000000000005,88.75656594610567,7873.098842409938,1446.6496922691094,304.0636135699615,2032.1084678087254,9319.748534679047,7.636371331144456,0.6342697627842426
Arkansas,5,0,7416.439959548996,1031.0000000000005,98.3128608131129,7416.439959548996,1675.8233182005852,420.54900676164823,2690.179881525345,9092.263277749582,7.193443219737142,0.6377374790608883
Arkansas,6,0,7091.593897955584,1031.0000000000005,101.96750813920936,7091.593897955584,1764.6455741468183,443.04266218972737,2792.456995598563,8856.239472102403,6.878364595495229,0.6264257915318012
Arkansas,7,0,6829.090114131166,1031.0000000000005,101.96750813920937,6829.090114131166,1764.6455741468178,506.28043755187105,3133.1084128928333,8593.735688277984,6.623753747944872,0.6085556857287884
Arkansas,8,0,6609.980109731017,1031.0000000000005,126.40823930972203,6609.980109731017,2304.4670017640174,567.5696990513354,3551.093158382465,8914.447111495036,6.41123192020467,0.6275516748428345
Arkansas,9,0,6413.382549560109,1031.0000000000005,191.44410812768845,6413.382549560109,3575.9722394300657,578.0429236834025,3524.3274833641076,9989.354788990175,6.220545634878861,0.6311064995825291
Arkansas,10,0,6217.084044235817,1031.0000000000005,191.44410812768848,6217.084044235817,3508.7716710783766,597.344965207011,3503.9943180928226,9725.855715314194,6.030149412449868,0.6229021735489368
Arkansas,11,0,6033.8673789057375,1031.0000000000005,194.54867898717916,6033.8673789057375,3624.775985029493,627.1446208670238,3498.655256296437,9658.64336393523,5.8524416866205,0.6168164759874344
Arkansas,12,0,5857.27450090837,1031.0000000000005,194.54867898717907,5857.27450090837,3673.767895955598,656.5454277933211,3566.5452717303733,9531.042396863968,5.6811585847801815,0.7521173842251301
Arkansas,13,0,5688.96331316507,1031.0000000000005,215.0273676061755,5688.96331316507,4239.147535541511,652.4297643037567,3431.2200449451257,9928.110848706581,5.5179081601989015,0.5980467200279236
Arkansas,14,0,5543.4899421756645,1031.0000000000005,222.54465785377252,5543.4899421756645,4446.494200768493,667.3384892626734,3527.335534130239,9989.984142944159,5.376808867289682,0.5980822928249836
Arkansas,15,0,5401.108830052724,1031.0000000000005,222.5446578537725,5401.108830052724,4446.494200768493,674.0644148333838,3527.335534130239,9847.603030821218,5.238708855531253,0.5895573608577251
Arkansas,16,0,5274.623824962402,1031.0000000000005,222.54465785377246,5274.623824962402,4563.641793960777,705.8660254653945,3572.149055446662,9838.265618923178,5.116026988324345,0.5740549862384796
Arkansas,17,0,5160.215914393818,1031.0000000000005,222.54465785377252,5160.215914393818,4467.560320174073,709.9513979860089,3472.2733185991356,9627.776234567891,5.005059082826203,0.5839306376874447
Arkansas,18,0,5051.6038028413095,1031.0000000000005,226.8621864845411,5051.6038028413095,4505.901785117496,715.6074843835354,3472.2733185991356,9557.505587958805,4.899712708866447,0.5737584382295609
Arkansas,19,0,4947.143336512729,1031.0000000000005,226.86218648454098,4947.143336512729,4001.9042662563684,715.6074843835354,3367.8128522705547,8949.047602769097,4.798393148896922,0.7411196641623974
