State,k,lambda,Clients,Longitude,Latitude
Alabama,1,0.01,447.3403844942949,34.7627454,-86.7550333
Alabama,1,0.040625,447.34038449429477,34.7627454,-86.7550333
Alabama,1,0.07125000000000001,444.03302143795895,34.737285799999995,-86.76464859999999
Alabama,1,0.1325,444.03302143795895,34.737285799999995,-86.76464859999999
Alabama,1,0.16312500000000002,453.06806880742283,34.7176145,-86.766764
Alabama,1,0.19375,453.0680688074229,34.7176145,-86.766764
Alabama,1,0.224375,245.41924350425344,33.2031146,-87.55276409999999
Alabama,1,0.255,245.41924350425344,33.2031146,-87.55276409999999
Alabama,1,0.3775,245.41924350425344,33.2031146,-87.55276409999999
Alabama,1,0.43875,245.41924350425344,33.2031146,-87.55276409999999
Alabama,1,0.469375,245.41924350425344,33.2031146,-87.55276409999999
Alabama,1,0.5,265.5845518834168,33.1930468,-87.4548608
Alabama,1,0.6225,265.5845518834168,33.1930468,-87.4548608
Alabama,1,0.6531250000000001,265.5845518834168,33.1930468,-87.4548608
Alabama,1,0.6837500000000001,267.0739198547039,33.1420294,-87.3825437
Alabama,1,0.745,267.0739198547039,33.1420294,-87.3825437
Alabama,1,0.99,267.0739198547039,33.1420294,-87.3825437
Alabama,2,0.01,447.34038449429477,34.7627454,-86.7550333
Alabama,2,0.01,207.53368850091388,32.4977055,-86.38835949999999
Alabama,2,0.040625,447.34038449429465,34.7627454,-86.7550333
Alabama,2,0.040625,207.53368850091377,32.4977055,-86.38835949999999
Alabama,2,0.07125000000000001,444.03302143795895,34.737285799999995,-86.76464859999999
Alabama,2,0.07125000000000001,207.53368850091388,32.4977055,-86.38835949999999
Alabama,2,0.1325,444.03302143795895,34.737285799999995,-86.76464859999999
Alabama,2,0.1325,207.53368850091388,32.4977055,-86.38835949999999
Alabama,2,0.16312500000000002,453.0680688074229,34.7176145,-86.766764
Alabama,2,0.16312500000000002,207.53368850091388,32.4977055,-86.38835949999999
Alabama,2,0.19375,267.0739198547039,33.1420294,-87.3825437
Alabama,2,0.19375,453.0680688074229,34.7176145,-86.766764
Alabama,2,0.255,267.0739198547039,33.1420294,-87.3825437
Alabama,2,0.255,453.06806880742283,34.7176145,-86.766764
Alabama,2,0.31625000000000003,267.0739198547039,33.1420294,-87.3825437
Alabama,2,0.31625000000000003,453.0680688074229,34.7176145,-86.766764
Alabama,2,0.34687500000000004,245.54646775435228,32.5196744,-85.282319
Alabama,2,0.34687500000000004,267.0739198547039,33.1420294,-87.3825437
Alabama,2,0.3775,245.54646775435228,32.5196744,-85.282319
Alabama,2,0.3775,267.0739198547039,33.1420294,-87.3825437
Alabama,2,0.5,245.54646775435228,32.5196744,-85.282319
Alabama,2,0.5,267.0739198547039,33.1420294,-87.3825437
Alabama,2,0.99,245.54646775435228,32.5196744,-85.282319
Alabama,2,0.99,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.01,401.02347058423817,33.4278956,-86.731802
Alabama,3,0.01,447.34038449429477,34.7627454,-86.7550333
Alabama,3,0.01,207.53368850091388,32.4977055,-86.38835949999999
Alabama,3,0.040625,401.02347058423817,33.4278956,-86.731802
Alabama,3,0.040625,447.34038449429477,34.7627454,-86.7550333
Alabama,3,0.040625,207.53368850091388,32.4977055,-86.38835949999999
Alabama,3,0.07125000000000001,401.02347058423817,33.4278956,-86.731802
Alabama,3,0.07125000000000001,444.03302143795895,34.737285799999995,-86.76464859999999
Alabama,3,0.07125000000000001,207.53368850091388,32.4977055,-86.38835949999999
Alabama,3,0.10187500000000001,214.22131137636882,30.6478304,-87.8437744
Alabama,3,0.10187500000000001,444.03302143795895,34.737285799999995,-86.76464859999999
Alabama,3,0.10187500000000001,207.53368850091388,32.4977055,-86.38835949999999
Alabama,3,0.1325,214.22131137636885,30.6478304,-87.8437744
Alabama,3,0.1325,444.03302143795867,34.737285799999995,-86.76464859999999
Alabama,3,0.1325,207.53368850090484,32.4977055,-86.38835949999999
Alabama,3,0.16312500000000002,214.22131137636882,30.6478304,-87.8437744
Alabama,3,0.16312500000000002,453.0680688074229,34.7176145,-86.766764
Alabama,3,0.16312500000000002,207.5336885009137,32.4977055,-86.38835949999999
Alabama,3,0.19375,214.22131137636885,30.6478304,-87.8437744
Alabama,3,0.19375,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.19375,453.0680688074229,34.7176145,-86.766764
Alabama,3,0.224375,245.54646775435228,32.5196744,-85.282319
Alabama,3,0.224375,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.224375,453.0680688074229,34.7176145,-86.766764
Alabama,3,0.255,245.54646775435228,32.5196744,-85.282319
Alabama,3,0.255,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.255,453.0680688074229,34.7176145,-86.766764
Alabama,3,0.5,245.54646775435228,32.5196744,-85.282319
Alabama,3,0.5,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.5,453.0680688074229,34.7176145,-86.766764
Alabama,3,0.530625,245.54646775435228,32.5196744,-85.282319
Alabama,3,0.530625,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.530625,453.0680688074229,34.7176145,-86.766764
Alabama,3,0.56125,285.50777228570195,34.6096225,-86.985681
Alabama,3,0.56125,245.54646775435228,32.5196744,-85.282319
Alabama,3,0.56125,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.6225,285.50777228570195,34.6096225,-86.985681
Alabama,3,0.6225,245.54646775435228,32.5196744,-85.282319
Alabama,3,0.6225,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.745,285.50777228570195,34.6096225,-86.985681
Alabama,3,0.745,245.54646775435228,32.5196744,-85.282319
Alabama,3,0.745,267.0739198547039,33.1420294,-87.3825437
Alabama,3,0.8674999999999999,285.50777228570195,34.6096225,-86.985681
